address,type,price,details,url
"3849 W Hirsch St #2, Chicago, IL 60651",SingleFamilyResidence,"$1,465/mo","2 bds2 ba1,325 sqft- Apartment for rent",https://www.zillow.com/homedetails/3849-W-Hirsch-St-2-Chicago-IL-60651/2082138845_zpid/
"5410 W Berteau Ave #1, Chicago, IL 60641",SingleFamilyResidence,"$1,750/mo","3 bds1 ba1,455 sqft- Apartment for rent",https://www.zillow.com/homedetails/5410-W-Berteau-Ave-1-Chicago-IL-60641/2117604347_zpid/
"4512 W Jackson Blvd #2, Chicago, IL 60624",SingleFamilyResidence,"$1,300/mo","3 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/4512-W-Jackson-Blvd-2-Chicago-IL-60624/2073174364_zpid/
"2908 N Spaulding Ave, Chicago, IL 60618",SingleFamilyResidence,"$1,775/mo","3 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/2908-N-Spaulding-Ave-Chicago-IL-60618/2120784215_zpid/
"437 S Scoville Ave #nyjdhmvb9, Oak Park, IL 60302",SingleFamilyResidence,"$1,175+/mo",1 bd1 ba775 sqft- Apartment for rent,https://www.zillow.com/homedetails/437-S-Scoville-Ave-NYJDHMVB9-Oak-Park-IL-60302/2073175939_zpid/
"4852 W Hutchinson St #8-b, Chicago, IL 60641",SingleFamilyResidence,"$1,000/mo",1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/4852-W-Hutchinson-St-8-B-Chicago-IL-60641/2073176099_zpid/
"5159 W School St #1, Chicago, IL 60641",SingleFamilyResidence,"$1,400/mo","2 bds1 ba1,125 sqft- Apartment for rent",https://www.zillow.com/homedetails/5159-W-School-St-1-Chicago-IL-60641/2073176107_zpid/
"1515 E Central Rd Unit 218c, Arlington Heights, IL 60005",SingleFamilyResidence,"$1,820/mo","2 bds2 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/1515-E-Central-Rd-UNIT-218C-Arlington-Heights-IL-60005/3446176_zpid/
"48 N Lincoln Ln, Arlington Heights, IL 60004",SingleFamilyResidence,"$3,500/mo","3 bds3.5 ba2,405 sqft- House for rent",https://www.zillow.com/homedetails/48-N-Lincoln-Ln-Arlington-Heights-IL-60004/158057967_zpid/
"5522 W Le Moyne St, Chicago, IL 60651",SingleFamilyResidence,$900/mo,2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/5522-W-Le-Moyne-St-Chicago-IL-60651/2073184394_zpid/
"5522 W Le Moyne St, Chicago, IL 60651",SingleFamilyResidence,$900/mo,2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/5522-W-Le-Moyne-St-Chicago-IL-60651/2073184394_zpid/
"1345 S Mannheim Rd #2n, Westchester, IL 60154",SingleFamilyResidence,"$1,500/mo","2 bds1.5 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/1345-S-Mannheim-Rd-2N-Westchester-IL-60154/2073184529_zpid/
"1033 N Mason Ave, Chicago, IL 60651",SingleFamilyResidence,"$1,355/mo",2 bds1 ba-- sqft- Townhouse for rent,https://www.zillow.com/homedetails/1033-N-Mason-Ave-Chicago-IL-60651/2073184532_zpid/
"134 S Kenilworth Ave #3, Oak Park, IL 60302",SingleFamilyResidence,"$1,835/mo","2 bds1 ba1,450 sqft- Apartment for rent",https://www.zillow.com/homedetails/134-S-Kenilworth-Ave-3-Oak-Park-IL-60302/2073186763_zpid/
